Nation,Population,Exists,First_App,Medal,S_Medal,W_Medal,Appearances (Total),Medals (Total),Gold,Silver,Bronze,Appearances (Summer),Medals (Summer),SO_Gold,SO_Silver,SO_Bronze,Appearances (Winter),Medals (Winter),WO_Gold,WO_Silver,WO_Bronze,MostSuccessfulSport,Medals,Golds,Silvers,Bronzes,id,Hosts (Total),Hosts (Summer),Hosts (Winter),HostInfo,RecordsM,RecordsW,Flag,Medals (Per capita),Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
Benin,11175692,YES,1972,0.00,0.00,0.00,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,-,0,0,0,0,BEN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,61349,YES,1936,0.04,0.06,0.00,26,2,1,0,1,18,2,1,0,1,8,0,0,0,0,Boxing,1,0,0,1,BMU,0,0,0,,,,,32.60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,807610,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,BTN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohemia,10500000,NO,1900,1.33,1.33,0.00,3,4,0,1,3,3,4,0,1,3,0,0,0,0,0,Fencing,2,0,2,0,XBO,0,0,0,,,,,0.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Bolivia,11051600,YES,1936,0.00,0.00,0.00,20,0,0,0,0,14,0,0,0,0,6,0,0,0,0,-,0,0,0,0,BOL,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,3507017,YES,1992,0.00,0.00,0.00,14,0,0,0,0,7,0,0,0,0,7,0,0,0,0,-,0,0,0,0,BIH,1,0,1,1984 Winter Olympics (Sarajevo),,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,2291661,YES,1980,0.10,0.10,0.00,10,2,0,1,1,10,2,0,1,1,0,0,0,0,0,Athletics,1,0,1,0,BWA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,0.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,209288278,YES,1920,4.30,5.86,0.00,30,150,37,42,71,22,150,37,42,71,8,0,0,0,0,Volleyball,10,5,3,2,BRA,1,1,0,2016 Summer Olympics (Rio de Janeiro),"Pole vault:, Thiago Braz 6.03 m",,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0.72,0,0,0,0,0,26,0,0,58,0,26,0,0,5,4,0,0,0,0,0,0,9,0,0,136,0,0,4,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,34,8,0,0,0,0,0,0,20,0,0,2,0,0,0,0,120,0,0,0
British Virgin Islands,31196,YES,1984,0.00,0.00,0.00,11,0,0,0,0,9,0,0,0,0,2,0,0,0,0,-,0,0,0,0,VGB,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British West Indies,3264600,NO,1960,2.00,2.00,0.00,1,2,0,0,2,1,2,0,0,2,0,0,0,0,0,Athletics,2,0,0,2,XBI,0,0,0,,,,,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,428697,YES,1988,0.00,0.00,0.00,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-,0,0,0,0,BRN,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,7084571,YES,1896,5.60,10.90,0.30,40,230,55,90,85,20,224,54,88,82,20,6,1,2,3,Weightlifting,37,12,17,8,BGR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,32.46,0,0,0,0,0,19,0,0,24,0,0,2,0,18,28,0,0,1,0,0,0,3,0,0,32,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,34,0,0,0,16,3,0,0,0,0,0,3,0,0,0,1,0,0,0,22,0,36,69
Burkina Faso,19193382,YES,1988,0.00,0.00,0.00,9,1,0,0,1,9,1,0,0,1,0,0,0,0,0,-,0,0,0,0,BFA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,10864245,YES,1996,0.33,0.33,0.00,6,2,1,1,0,6,2,1,1,0,0,0,0,0,0,Athletics,2,1,1,0,BDI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,0.18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,16005373,YES,1956,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,KHM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
